"english","example","ko_meaning","ko_example","ja_meaning","ja_example","zh_meaning","zh_example"
"diffuse","The company tried to diffuse tension by issuing a public apology.","완화하다","회사는 공개 사과를 발표하여 긴장을 완화하려 했다.","和らげる","会社は公式謝罪を発表して緊張を和らげようとした。","缓和","公司试图通过发布公开道歉来缓和紧张局势。"
"diligent","Her diligent research uncovered critical flaws in the competitor's patent claims.","근면한","그녀의 근면한 연구가 경쟁사 특허 청구의 중요한 결함을 발견했다.","勤勉な","彼女の勤勉な研究が競合他社の特許請求の重大な欠陥を発見した。","勤奋的","她勤奋的研究发现了竞争对手专利申请中的关键缺陷。"
"diminish","The scandal threatened to diminish public trust in the financial sector.","줄이다","스캔들은 금융 부문에 대한 대중의 신뢰를 줄일 위험이 있었다.","減少させる","スキャンダルは金融セクターに対する公共の信頼を減少させる恐れがあった。","减少","丑闻有可能减少公众对金融部门的信任。"
"discern","Experienced managers can discern subtle signs of declining team morale.","식별하다","경험이 풍부한 관리자는 팀 사기 저하의 미묘한 징후를 식별할 수 있다.","識別する","経験豊富なマネージャーはチーム士気低下の微妙な兆候を識別できる。","辨别","经验丰富的管理者可以辨别团队士气下降的微妙迹象。"
"discrepancy","Auditors discovered a significant discrepancy between reported and actual revenues.","불일치","감사관들은 보고된 수익과 실제 수익 사이에 상당한 불일치를 발견했다.","矛盾","監査人は報告された収益と実際の収益の間に大きな矛盾を発見した。","差异","审计人员发现报告收入与实际收入之间存在重大差异。"
"discretion","Managers have full discretion over how to allocate their departmental budgets.","재량","관리자는 부서 예산을 어떻게 배분할지에 대한 전적인 재량을 가진다.","裁量","マネージャーは部門予算の配分方法について完全な裁量を持つ。","自由裁量权","经理对如何分配部门预算拥有完全的自由裁量权。"
"disparage","It is unprofessional to disparage competitors in front of potential clients.","폄하하다","잠재 고객 앞에서 경쟁사를 폄하하는 것은 비전문적이다.","見下す","潜在的なクライアントの前で競合他社を見下すのは非プロフェッショナルだ。","贬低","在潜在客户面前贬低竞争对手是不专业的。"
"disparate","The merger brought together two disparate corporate cultures under one roof.","이질적인","합병은 한 지붕 아래 두 이질적인 기업 문화를 결합시켰다.","異なる","合併は一つ屋根の下に二つの異なる企業文化をまとめた。","截然不同的","合并将两种截然不同的企业文化汇集在一个屋檐下。"
"disparity","The wage disparity between executives and entry-level staff continues to widen.","격차","경영진과 신입 직원 간의 임금 격차가 계속 벌어지고 있다.","格差","幹部と新入社員の間の賃金格差は拡大し続けている。","差距","高管与初级员工之间的薪资差距继续扩大。"
"disposition","His calm disposition makes him ideal for handling high-pressure negotiations.","성격","그의 침착한 성격은 고압적인 협상을 처리하는 데 이상적이다.","気質","彼の穏やかな気質は高圧的な交渉に対処するのに理想的だ。","性情","他冷静的性情使他非常适合处理高压谈判。"
"disproportionate","A disproportionate amount of the budget was allocated to administrative costs.","불균형한","예산의 불균형한 양이 관리 비용에 할당되었다.","不均衡な","予算の不均衡な額が管理コストに割り当てられた。","不成比例的","预算中不成比例的金额被分配给了行政成本。"
"disseminate","The marketing team worked to disseminate product information across all channels.","보급하다","마케팅 팀은 모든 채널에 제품 정보를 보급하기 위해 노력했다.","普及する","マーケティングチームは全チャネルに製品情報を普及させるために働いた。","传播","营销团队努力在所有渠道传播产品信息。"
"dissonance","There was noticeable dissonance between the company's mission and its practices.","불일치","회사의 사명과 관행 사이에 눈에 띄는 불일치가 있었다.","不協和","会社のミッションとその実践の間に顕著な不協和があった。","不协调","公司的使命与其实践之间存在明显的不协调。"
"diverge","Opinions among the board members began to diverge on key strategic issues.","분기하다","이사회 구성원 간의 의견이 주요 전략적 문제에서 분기하기 시작했다.","分岐する","取締役会メンバーの意見が主要な戦略的問題で分岐し始めた。","分歧","董事会成员的意见在关键战略问题上开始出现分歧。"
"divest","The conglomerate decided to divest its underperforming retail division.","매각하다","대기업은 실적이 저조한 소매 부문을 매각하기로 결정했다.","売却する","複合企業は業績不振の小売部門を売却することを決定した。","剥离","该集团决定剥离其业绩不佳的零售部门。"
"doctrine","The company's doctrine on data privacy exceeds governmental compliance standards.","원칙","회사의 데이터 프라이버시 원칙은 정부 준수 기준을 초과한다.","教義","会社のデータプライバシーに関する教義は政府のコンプライアンス基準を超えている。","准则","公司的数据隐私准则超出了政府合规标准。"
